timestamps,TP9,AF7,AF8,TP10,Right AUX
1718226379.065,-50.293,-55.176,-41.992,-51.758,0.000
1718226379.069,-46.875,-51.270,-34.180,-47.852,0.000
1718226379.072,-32.715,-48.340,-33.691,-47.852,0.000
1718226379.076,-28.320,-43.457,-41.016,-37.598,0.000
1718226379.080,-49.316,-39.062,-40.527,-31.250,0.000
1718226379.084,-47.363,-36.133,-46.387,-51.758,0.000
1718226379.088,-31.738,-26.855,-42.969,-48.340,0.000
1718226379.092,-50.293,-32.715,-43.945,-43.457,0.000
1718226379.096,-74.219,-46.387,-44.434,-69.336,0.000
1718226379.100,-79.590,-50.293,-35.156,-71.777,0.000
1718226379.104,-76.172,-54.199,-38.574,-53.223,0.000
1718226379.108,-60.547,-49.805,-36.133,-43.457,0.000
1718226379.111,-63.477,-43.945,-36.621,-49.316,0.000
1718226379.115,-67.871,-46.387,-40.527,-57.129,0.000
1718226379.119,-48.340,-38.574,-39.551,-41.992,0.000
1718226379.123,-46.387,-38.086,-39.062,-33.203,0.000
1718226379.127,-52.246,-36.133,-33.203,-35.645,0.000
1718226379.131,-48.340,-36.133,-29.785,-33.203,0.000
1718226379.135,-60.059,-43.457,-33.203,-38.086,0.000
1718226379.139,-65.430,-45.898,-35.645,-47.363,0.000
1718226379.143,-65.918,-47.852,-38.086,-41.992,0.000
1718226379.147,-57.129,-46.875,-34.180,-45.898,0.000
1718226379.151,-41.016,-49.316,-38.086,-42.480,0.000
1718226379.154,-41.504,-52.734,-49.805,-29.785,0.000
1718226379.158,-51.270,-50.781,-38.086,-45.410,0.000
1718226379.162,-52.246,-38.086,-35.645,-47.363,0.000
1718226379.166,-38.086,-30.762,-33.691,-34.668,0.000
1718226379.170,-39.551,-41.504,-38.574,-50.781,0.000
1718226379.174,-31.738,-36.133,-39.551,-43.945,0.000
1718226379.178,-27.832,-21.973,-26.367,-37.598,0.000
1718226379.182,-44.922,-33.691,-32.227,-56.641,0.000
1718226379.186,-55.664,-40.039,-41.504,-62.012,0.000
1718226379.190,-48.340,-38.574,-48.828,-58.105,0.000
1718226379.194,-41.992,-40.527,-54.199,-60.547,0.000
1718226379.197,-49.805,-35.645,-60.547,-59.082,0.000
1718226379.201,-52.734,-39.551,-54.199,-63.477,0.000
1718226379.205,-52.246,-46.387,-49.316,-65.918,0.000
1718226379.209,-40.527,-45.410,-50.781,-53.223,0.000
1718226379.213,-40.527,-42.480,-51.270,-43.457,0.000
1718226379.217,-41.992,-36.133,-52.734,-28.809,0.000
1718226379.221,-47.363,-33.691,-45.410,-38.574,0.000
1718226379.225,-59.082,-39.551,-42.969,-48.828,0.000
1718226379.229,-36.621,-36.621,-40.527,-33.691,0.000
1718226379.233,-33.691,-38.086,-58.105,-43.457,0.000
1718226379.237,-33.203,-36.621,-61.523,-46.875,0.000
1718226379.240,-18.555,-37.109,-49.316,-34.668,0.000
1718226379.244,-16.602,-40.039,-49.316,-25.879,0.000
1718226379.248,-28.320,-41.992,-50.293,-32.715,0.000
1718226379.252,-33.691,-43.457,-49.805,-36.621,0.000
1718226379.256,-26.855,-45.898,-45.898,-24.902,0.000
1718226379.260,-31.738,-44.922,-48.828,-20.508,0.000
